Date,Time,Abs Pres (kPa) c:1 2
07/28/21,09:00:00,124.906
07/28/21,09:15:00,124.436
07/28/21,09:30:00,123.862
07/28/21,09:45:00,123.270
07/28/21,10:00:00,122.698
07/28/21,10:15:00,122.072
07/28/21,10:30:00,121.438
07/28/21,10:45:00,120.732
07/28/21,11:00:00,119.981
07/28/21,11:15:00,119.172
07/28/21,11:30:00,118.296
07/28/21,11:45:00,117.374
07/28/21,12:00:00,116.453
07/28/21,12:15:00,115.532
07/28/21,12:30:00,114.639
07/28/21,12:45:00,113.810
07/28/21,13:00:00,113.043
07/28/21,13:15:00,112.321
07/28/21,13:30:00,111.661
07/28/21,13:45:00,111.046
07/28/21,14:00:00,110.511
07/28/21,14:15:00,110.021
07/28/21,14:30:00,109.656
07/28/21,14:45:00,109.410
07/28/21,15:00:00,109.401
07/28/21,15:15:00,109.670
07/28/21,15:30:00,110.076
07/28/21,15:45:00,110.632
07/28/21,16:00:00,111.239
07/28/21,16:15:00,111.964
07/28/21,16:30:00,112.739
07/28/21,16:45:00,113.636
07/28/21,17:00:00,114.667
07/28/21,17:15:00,115.881
07/28/21,17:30:00,117.138
07/28/21,17:45:00,118.471
07/28/21,18:00:00,119.851
07/28/21,18:15:00,121.270
07/28/21,18:30:00,122.583
07/28/21,18:45:00,123.894
07/28/21,19:00:00,125.209
07/28/21,19:15:00,126.502
07/28/21,19:30:00,127.797
07/28/21,19:45:00,129.012
07/28/21,20:00:00,130.123
07/28/21,20:15:00,131.103
07/28/21,20:30:00,131.864
07/28/21,20:45:00,132.471
07/28/21,21:00:00,133.002
07/28/21,21:15:00,133.347
07/28/21,21:30:00,133.585
07/28/21,21:45:00,133.704
07/28/21,22:00:00,133.719
07/28/21,22:15:00,133.603
07/28/21,22:30:00,133.368
07/28/21,22:45:00,133.041
07/28/21,23:00:00,132.656
07/28/21,23:15:00,132.206
07/28/21,23:30:00,131.668
07/28/21,23:45:00,130.929
07/29/21,00:00:00,130.131
07/29/21,00:15:00,129.210
07/29/21,00:30:00,128.240
07/29/21,00:45:00,127.272
07/29/21,01:00:00,126.359
07/29/21,01:15:00,125.452
07/29/21,01:30:00,124.618
07/29/21,01:45:00,123.819
07/29/21,02:00:00,123.058
07/29/21,02:15:00,122.294
07/29/21,02:30:00,121.549
07/29/21,02:45:00,120.877
07/29/21,03:00:00,120.358
07/29/21,03:15:00,119.935
07/29/21,03:30:00,119.630
07/29/21,03:45:00,119.447
07/29/21,04:00:00,119.340
07/29/21,04:15:00,119.233
07/29/21,04:30:00,119.111
07/29/21,04:45:00,118.989
07/29/21,05:00:00,118.959
07/29/21,05:15:00,119.081
07/29/21,05:30:00,119.382
07/29/21,05:45:00,119.820
07/29/21,06:00:00,120.232
07/29/21,06:15:00,120.610
07/29/21,06:30:00,121.068
07/29/21,06:45:00,121.553
07/29/21,07:00:00,122.042
07/29/21,07:15:00,122.679
07/29/21,07:30:00,123.298
07/29/21,07:45:00,123.761
07/29/21,08:00:00,124.047
07/29/21,08:15:00,124.116
07/29/21,08:30:00,124.097
07/29/21,08:45:00,124.036
07/29/21,09:00:00,124.112
07/29/21,09:15:00,124.315
07/29/21,09:30:00,124.529
07/29/21,09:45:00,124.472
07/29/21,10:00:00,124.150
07/29/21,10:15:00,123.692
07/29/21,10:30:00,123.229
07/29/21,10:45:00,122.695
07/29/21,11:00:00,122.126
07/29/21,11:15:00,121.709
07/29/21,11:30:00,121.351
07/29/21,11:45:00,120.931
07/29/21,12:00:00,120.293
07/29/21,12:15:00,119.614
07/29/21,12:30:00,118.940
07/29/21,12:45:00,118.185
07/29/21,13:00:00,117.412
07/29/21,13:15:00,116.718
07/29/21,13:30:00,116.083
07/29/21,13:45:00,115.481
